Fe,Cr,Ni,Mo,Mn,Si,Cu,S,P,C,N,O,Nb,Ti,W,Co,V,Al,Zr,Ta,Ce,Re,B,MfgRoute,T[oC],t[hr],EtoJ,Rrp,Process_Original,Coolingmedium_Original,Solution_Original,Process_Clustered,Coolingmedium_Clustered,Solution_Clustered
25.41,0.018,0.36,1.29,0.12,0.48,0.77,0.01,0.02,0.0,0.064,0.0,0.41,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1000,1.0,0.278,0.009585285780000001,Solution annealing,Water Quenching,waste phosphoric acid (H3PO4),Processed/Treated,Water-based Cooling,Acidic Solution
81.178,17.0,0.0,0.86,0.25,0.51,0.0,0.011,0.031,0.1,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.02224,0.02224,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% HNO3,As-received/Initial,Water-based Cooling,Acidic Solution
81.147,16.97,0.0,0.86,0.25,0.52,0.0,0.011,0.032,0.1,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.02365,0.02365,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% HNO3,As-received/Initial,Water-based Cooling,Acidic Solution
81.08,16.91,0.0,0.85,0.25,0.52,0.0,0.011,0.029,0.09,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.01277,0.01277,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% HNO3,As-received/Initial,Water-based Cooling,Acidic Solution
81.178,17.0,0.0,0.86,0.25,0.51,0.0,0.011,0.031,0.1,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.02386,0.02386,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% HNO3,As-received/Initial,Water-based Cooling,Acidic Solution
81.147,16.97,0.0,0.86,0.25,0.52,0.0,0.011,0.032,0.1,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.02341,0.02341,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% HNO3,As-received/Initial,Water-based Cooling,Acidic Solution
81.08,16.91,0.0,0.85,0.25,0.52,0.0,0.011,0.029,0.09,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.00632,0.00632,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% HNO3,As-received/Initial,Water-based Cooling,Acidic Solution
81.178,17.0,0.0,0.86,0.25,0.51,0.0,0.011,0.031,0.1,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.05933,0.05933,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% NaOH,As-received/Initial,Water-based Cooling,Basic/Alkaline Solution
81.147,16.97,0.0,0.86,0.25,0.52,0.0,0.011,0.032,0.1,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.04633,0.04633,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% NaOH,As-received/Initial,Water-based Cooling,Basic/Alkaline Solution
81.08,16.91,0.0,0.85,0.25,0.52,0.0,0.011,0.029,0.09,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.05363,0.05363,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% NaOH,As-received/Initial,Water-based Cooling,Basic/Alkaline Solution
